Cruise,Station,Date,Longitude,Latitude,BottomDepth,Depth,Temperature,Salinity,Oxygen,PDA,Nits,Phosphate,Silicate,COD,AOU,WaterMassNo
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,398.035,9.5395,35.1484,2.5117,27.158064,28.72,1.24,15.34,43,168.7004,4.5
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,595.278,7.1182,34.9294,2.8428,27.359465,30.98,2.03,20.69,43.9,170.4721,5
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,792.334,5.6736,34.9134,3.4869,27.539071,29.6,1.94,24.35,43.6,152.6945,5
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,992.17,4.8481,34.9403,4.0678,27.659924,26.86,1.67,25.11,41.3,133.5279,6
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,1188.851,4.4399,34.9588,4.4547,27.721634,25.16,1.79,24.94,40.1,119.8425,6
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,1484.021,4.2706,34.9685,4.6777,27.750352,24.12,1.71,24.56,39.5,111.6063,6
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,1732.473,4.2591,34.9702,4.7157,27.755386,23.43,1.18,23.95,43,110.2196,6
2,15,2013-02-21T15:30,-95.60361,25.02364,2403,1981.619,4.2657,34.9711,4.7355,27.758109,23.45,1.12,23.69,46.1,109.497,6
2,16,2013-02-21T22:15,-94.82452,25.03831,3611,7.948,23.9425,36.4878,4.5778,24.788385,0,0.16,2,66.2,8.4904,1
2,16,2013-02-21T22:15,-94.82452,25.03831,3611,51.659,23.843,36.4879,4.5683,24.820881,0,0.1,1.98,65.7,9.2961,1
2,16,2013-02-21T22:15,-94.82452,25.03831,3611,72.518,23.8392,36.4872,4.5516,24.822794,0,0,1.61,67.5,10.0543,1
2,16,2013-02-21T22:15,-94.82452,25.03831,3611,145.01,19.7662,36.5037,2.863,25.982435,10.08,0.46,10.27,56.5,99.4147,2
2,16,2013-02-21T22:15,-94.82452,25.03831,3611,397.043,10.4298,35.2721,2.4385,27.103099,28.01,1.72,13.85,43.8,166.2986,4.5
2,16,2013-02-21T22:15,-94.82452,25.03831,3611,795.302,5.8835,34.9105,3.3605,27.510805,29.99,1.97,23.56,39.4,156.7013,5
2,16,2013-02-21T22:15,-94.82452,25.03831,3611,995.135,4.9814,34.9347,3.9503,27.640318,8.61,0.53,9.03,58.7,137.6682,6
2,16,2013-02-21T22:15,-94.82452,25.03831,3611,1190.825,4.516,34.9546,4.3726,27.709993,25.28,1.59,24.69,39.9,122.8528,6
